name,price,restaurant,location
Double Cheese,329,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Spicy Kala Bhuna,379,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
BBQ Chicken,379,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Smoky Grilled Buzz,379,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Beef Pepperoni,379,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Red N Hot.,429,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Supreme.,429,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Chicken Supreme.,429,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Chicken Classic.,429,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Chicken Delight.,429,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Bbq Temptation .,429,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Triple Chicken Feast,479,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Bbq Blast,479,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
The Works,479,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Beef Lovers (C.B),1049,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Spicy Chicken (C.B),1049,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Chicken Delight (C.B),1149,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Red N Hot (C.B),1149,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Bbq Temptation (GS),1479,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Red n Hot (GS),1479,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Chicken Classic (GS),1479,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Chicken Delight (GS),1479,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Beef Lovers (GS),1369,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Spicy Chicken (GS),1369,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Kala Bhuna Deluxe (GS),1479,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Supreme (GS),1479,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
The Wroks (GS),1479,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Bbq Temptation (Thin Crust),819,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Red N Hot (Thin Crust),819,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Chicken Classic (Thin Crust),819,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Chicken Arabiatta,369,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Beef Arabiatta,369,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Mushroom,419,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Chicken Mushroom,469,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Baked-Chicken Arabiatta,489,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Baked-Chicken Mushroom,599,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Garlic Bread Sticks,149,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Garlic Bread,189,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Baked Potato Wedges,259,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Spicy Garlic Mushrooms,489,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Garlic Bread Spicy Supreme,299,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Garlic Bread Exotica,339,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Cheesy Garlic Sticks,209,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Garlic bread with cheese,289,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
PEPSI,35,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Mountain Dew,32,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
7 UP,35,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
